date,total_deposits_t,weighted_retention_rate,cohort,total_deposits,week_1_retention,week_2_retention,week_3_retention,week_4_retention,week_5_retention,week_6_retention,week_7_retention,week_8_retention,week_9_retention,week_10_retention,week_11_retention,week_12_retention
August 04 2025,4.795478773022105e+07,0.23492166025100697,2025-08-04 00:00:00.000 UTC,4.795478773022105e+07,0.9325435353508925,0.9029323593712426,0.82003290836542,0.32305780210082186,0.20326486014982162,0.18257817191689069,0.1752059931304745,0.1522972502634871,0.15080182977387252,0.15008400403588815,0.14540196312528453,0
July 28 2025,1.0711778071625007e+07,0.43378543691723137,2025-07-28 00:00:00.000 UTC,1.0711778071625007e+07,0.7363901745493467,0.7046764861426927,0.6989852608729964,0.698428428122537,0.6592443810069921,0.5749013827799482,0.4714999962405605,0.42213348360031105,0.32899930971891944,0.3026911769146281,0.30117204468777176,0.3395712787680893
July 21 2025,1.1903321703459019e+07,0.5594947802011572,2025-07-21 00:00:00.000 UTC,1.1903321703459019e+07,0.9418977695043893,0.7089906037881126,0.6724203891277704,0.6497746360431262,0.6379422486416323,0.6042099520346956,0.6045803135025263,0.6005468326872524,0.5276369977377151,0.5242811351552641,0.5151856255441397,0.42953001195368107
July 14 2025,5.223755159923366e+06,0.5836999211773948,2025-07-14 00:00:00.000 UTC,5.223755159923366e+06,0.8610207140224919,0.7151465419509793,0.7071291790147957,0.71504050629933,0.6945826896549882,0.6797098804793666,0.6759197884510801,0.6760225157113814,0.4972836783275922,0.4968555656712628,0.4969273159542024,0.4712191565428072
July 07 2025,5.806913350691538e+06,0.840427514560069,2025-07-07 00:00:00.000 UTC,5.806913350691538e+06,0.9999980881965498,0.9824744063679319,0.8665601366916218,0.8651896498658881,0.8431563071985674,0.8403125283899164,0.8400927136714297,0.8401365688745672,0.8338066567720802,0.8333220632808398,0.8309163819960222,0.8075834355393587
June 30 2025,7.384270178204478e+06,0.6520864333591431,2025-06-30 00:00:00.000 UTC,7.384270178204478e+06,0.996957413773888,0.9892029054064806,0.8905618615863313,0.7216552638449678,0.7164669612252127,0.7190227876069237,0.715460612599831,0.7142354851679819,0.638170793339707,0.5482073814114173,0.5494692572461922,0.5367266210081265
June 23 2025,7.023277861414404e+06,0.6983510121407676,2025-06-23 00:00:00.000 UTC,7.023277861414404e+06,0.9948522107519201,0.9907866867768671,0.9334946267752786,0.7559057211809974,0.7515580301814377,0.7472615208561119,0.6922227802030446,0.6556918845096359,0.655665660539863,0.6529186572128071,0.6529413850532009,0.6438216692925071
June 16 2025,1.0960810478927344e+07,0.9576728091165148,2025-06-16 00:00:00.000 UTC,1.0960810478927344e+07,0.97753693481362,0.9720063174482414,0.9689331493789034,0.9709818252605072,0.965821105221479,0.9632799366153807,0.9603382295272089,0.9588531229326467,0.9575768019056504,0.9537107540917158,0.9528857599346484,0.94559857824157
June 09 2025,2.9852577335765567e+07,0.9701961580699393,2025-06-09 00:00:00.000 UTC,2.9852577335765567e+07,0.9495479517003605,0.9512692893723779,0.979807828399948,0.9876256014490931,0.9872626660774678,0.9831235631197937,0.9666890162489277,0.9669952401228722,0.9669958572423573,0.9665419647566679,0.966426754019789,0.966364292268065
June 02 2025,3.7526371082641343e+06,0.577052855701857,2025-06-02 00:00:00.000 UTC,3.7526371082641343e+06,0.9386425755355134,0.8016395801493919,0.7921036401339396,0.7869527119501016,0.7815002903363755,0.7656931725205536,0.650711728998454,0.6269575632236759,0.5570868120178106,0.5588710779839149,0.35640315497979946,0.36240411269560857
