date,total_wallets_per_cohort_t,weighted_retention_rate,cohort,total_wallets_per_cohort,month_1_retention,month_2_retention,month_3_retention,month_4_retention,month_5_retention,month_6_retention,month_7_retention,month_8_retention,month_9_retention,month_10_retention,month_11_retention,month_12_retention
May 12 2025,530,0.6506773101112723,2025-05-12 00:00:00.000 UTC,530,0.8735849056603774,0.8113207547169812,0.7641509433962265,0.7339622641509433,0.7113207547169811,0.6358490566037736,0.6622641509433962,0.6566037735849056,0.6264150943396226,0.6226415094339622,0.6094339622641509,0.6
May 05 2025,569,0.5955116939299716,2025-05-05 00:00:00.000 UTC,569,0.8629173989455184,0.7943760984182777,0.7398945518453427,0.6994727592267135,0.6379613356766256,0.6115992970123023,0.5992970123022847,0.5834797891036907,0.5782073813708261,0.5676625659050967,0.5500878734622144,0.5272407732864675
April 28 2025,494,0.5874338212394892,2025-04-28 00:00:00.000 UTC,494,0.8744939271255061,0.7591093117408907,0.7206477732793523,0.6761133603238867,0.6417004048582996,0.6214574898785425,0.5951417004048583,0.5769230769230769,0.5688259109311741,0.5607287449392713,0.5404858299595142,0.5141700404858299
April 21 2025,447,0.5328400160614927,2025-04-21 00:00:00.000 UTC,447,0.814317673378076,0.738255033557047,0.6778523489932886,0.6308724832214765,0.5928411633109619,0.5659955257270693,0.5458612975391499,0.5100671140939598,0.5145413870246085,0.49217002237136465,0.48322147651006714,0.465324384787472
April 14 2025,478,0.565604548868147,2025-04-14 00:00:00.000 UTC,478,0.9079497907949791,0.7866108786610879,0.7280334728033473,0.7092050209205021,0.6882845188284519,0.6485355648535565,0.6380753138075314,0.5167364016736402,0.5125523012552301,0.49581589958158995,0.4874476987447699,0.4790794979079498
April 07 2025,380,0.6153846153846154,2025-04-07 00:00:00.000 UTC,380,0.9,0.8289473684210527,0.781578947368421,0.7026315789473684,0.6578947368421053,0.6394736842105263,0.6289473684210526,0.6052631578947368,0.5868421052631579,0.5842105263157895,0.5657894736842105,0.5473684210526316
March 31 2025,565,0.692648059904697,2025-03-31 00:00:00.000 UTC,565,0.9026548672566371,0.8477876106194691,0.8283185840707965,0.7805309734513274,0.7221238938053097,0.7061946902654868,0.695575221238938,0.6884955752212389,0.6761061946902654,0.6654867256637168,0.647787610619469,0.6442477876106195
March 24 2025,459,0.6358024691358023,2025-03-24 00:00:00.000 UTC,459,0.8997821350762527,0.7930283224400871,0.7363834422657952,0.7080610021786492,0.6775599128540305,0.6710239651416122,0.6579520697167756,0.6383442265795207,0.6252723311546841,0.599128540305011,0.5882352941176471,0.5708061002178649
March 17 2025,444,0.5797239547239548,2025-03-17 00:00:00.000 UTC,444,0.8918918918918919,0.7882882882882883,0.7252252252252253,0.6756756756756757,0.6666666666666666,0.6396396396396397,0.6328828828828829,0.6036036036036037,0.5585585585585585,0.5337837837837838,0.49099099099099097,0.47297297297297297
March 10 2025,380,0.60944669365722,2025-03-10 00:00:00.000 UTC,380,0.8842105263157894,0.781578947368421,0.7236842105263158,0.6657894736842105,0.6342105263157894,0.6526315789473685,0.6210526315789474,0.6157894736842106,0.6,0.5763157894736842,0.5631578947368421,0.5447368421052632
