granularity_day,holder_class,addresses,token_balance_usd,active_address,balance_tracked,num_month,month_change,total_unique_holders
2025-02-24 00:00:00.000 UTC,Repeat,80014,4.1628471303471427e+09,80593,72.5280393290158,40165,-3.370543232449598,315975
2025-02-24 00:00:00.000 UTC,First Time,579,4.483892299829179e+06,80593,72.5280393290158,40165,-3.370543232449598,315975
2025-02-17 00:00:00.000 UTC,First Time,603,3.114133009534007e+07,82308,74.26563519169078,40165,-3.370543232449598,315975
2025-02-17 00:00:00.000 UTC,Repeat,81705,4.501660675545046e+09,82308,74.26563519169078,40165,-3.370543232449598,315975
2025-02-10 00:00:00.000 UTC,First Time,613,5.749108772446006e+07,83821,75.63172592899619,40165,-3.370543232449598,315975
2025-02-10 00:00:00.000 UTC,Repeat,83208,4.465951778572627e+09,83821,75.63172592899619,40165,-3.370543232449598,315975
2025-02-03 00:00:00.000 UTC,Repeat,84678,4.943881876253278e+09,85570,75.80936380757164,40165,-3.370543232449598,315975
2025-02-03 00:00:00.000 UTC,First Time,892,2.9141482365309734e+07,85570,75.80936380757164,40165,-3.370543232449598,315975
2025-01-27 00:00:00.000 UTC,First Time,1049,1.6343273451404972e+07,87738,78.54377297344631,40165,-3.370543232449598,315975
2025-01-27 00:00:00.000 UTC,Repeat,86689,5.466867650776213e+09,87738,78.54377297344631,40165,-3.370543232449598,315975
2025-01-20 00:00:00.000 UTC,Repeat,90696,5.911332065713149e+09,91872,80.49744670756829,40165,-3.370543232449598,315975
2025-01-20 00:00:00.000 UTC,First Time,1176,2.1123354562152077e+07,91872,80.49744670756829,40165,-3.370543232449598,315975
2025-01-13 00:00:00.000 UTC,First Time,891,1.7229051065358646e+07,91873,82.0309362937955,40165,-3.370543232449598,315975
2025-01-13 00:00:00.000 UTC,Repeat,90982,5.697659400725762e+09,91873,82.0309362937955,40165,-3.370543232449598,315975
2025-01-06 00:00:00.000 UTC,First Time,1864,4.738489523741143e+07,95886,83.22905279968055,40165,-3.370543232449598,315975
2025-01-06 00:00:00.000 UTC,Repeat,94022,6.754066975535028e+09,95886,83.22905279968055,40165,-3.370543232449598,315975
2024-12-30 00:00:00.000 UTC,First Time,1717,1.405378722452792e+08,95154,83.18419068277684,40165,-3.370543232449598,315975
2024-12-30 00:00:00.000 UTC,Repeat,93437,5.961862637880551e+09,95154,83.18419068277684,40165,-3.370543232449598,315975
2024-12-23 00:00:00.000 UTC,Repeat,96387,6.191363328813641e+09,98215,83.53274865203738,40165,-3.370543232449598,315975
2024-12-23 00:00:00.000 UTC,First Time,1828,2.1243691265051055e+08,98215,83.53274865203738,40165,-3.370543232449598,315975
2024-12-16 00:00:00.000 UTC,First Time,1909,9.247343054214743e+07,100580,83.95017424722285,40165,-3.370543232449598,315975
2024-12-16 00:00:00.000 UTC,Repeat,98671,7.215690520223965e+09,100580,83.95017424722285,40165,-3.370543232449598,315975
2024-12-09 00:00:00.000 UTC,Repeat,99418,6.6663543169282e+09,100809,83.59935538579009,40165,-3.370543232449598,315975
2024-12-09 00:00:00.000 UTC,First Time,1391,7.842751760378714e+07,100809,83.59935538579009,40165,-3.370543232449598,315975
